DATAFLOW,LAST UPDATE,freq,unit,isced11,indic_wb,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_PW01(1.0),15/12/23 23:00:00,A,RTG,TOTAL,MEANLIFE,T,Y_GE16,AT,2013,7.9,
ESTAT:ILC_PW01(1.0),15/12/23 23:00:00,A,RTG,TOTAL,MEANLIFE,T,Y_GE16,BE,2013,7.6,
ESTAT:ILC_PW01(1.0),15/12/23 23:00:00,A,RTG,TOTAL,MEANLIFE,T,Y_GE16,BG,2013,6.1,
ESTAT:ILC_PW01(1.0),15/12/23 23:00:00,A,RTG,TOTAL,MEANLIFE,T,Y_GE16,CY,2013,7.2,
ESTAT:ILC_PW01(1.0),15/12/23 23:00:00,A,RTG,TOTAL,MEANLIFE,T,Y_GE16,CZ,2013,7.6,
ESTAT:ILC_PW01(1.0),15/12/23 23:00:00,A,RTG,TOTAL,MEANLIFE,T,Y_GE16,DE,2013,7.4,
ESTAT:ILC_PW01(1.0),15/12/23 23:00:00,A,RTG,TOTAL,MEANLIFE,T,Y_GE16,DK,2013,8.2,
ESTAT:ILC_PW01(1.0),15/12/23 23:00:00,A,RTG,TOTAL,MEANLIFE,T,Y_GE16,EE,2013,7.5,
ESTAT:ILC_PW01(1.0),15/12/23 23:00:00,A,RTG,TOTAL,MEANLIFE,T,Y_GE16,EL,2013,6.6,
ESTAT:ILC_PW01(1.0),15/12/23 23:00:00,A,RTG,TOTAL,MEANLIFE,T,Y_GE16,ES,2013,7.5,
ESTAT:ILC_PW01(1.0),15/12/23 23:00:00,A,RTG,TOTAL,MEANLIFE,T,Y_GE16,FI,2013,8.0,
ESTAT:ILC_PW01(1.0),15/12/23 23:00:00,A,RTG,TOTAL,MEANLIFE,T,Y_GE16,FR,2013,7.1,
ESTAT:ILC_PW01(1.0),15/12/23 23:00:00,A,RTG,TOTAL,MEANLIFE,T,Y_GE16,HR,2013,7.0,
ESTAT:ILC_PW01(1.0),15/12/23 23:00:00,A,RTG,TOTAL,MEANLIFE,T,Y_GE16,HU,2013,7.0,
ESTAT:ILC_PW01(1.0),15/12/23 23:00:00,A,RTG,TOTAL,MEANLIFE,T,Y_GE16,IE,2013,7.8,
ESTAT:ILC_PW01(1.0),15/12/23 23:00:00,A,RTG,TOTAL,MEANLIFE,T,Y_GE16,IT,2013,7.3,
ESTAT:ILC_PW01(1.0),15/12/23 23:00:00,A,RTG,TOTAL,MEANLIFE,T,Y_GE16,LT,2013,7.4,
ESTAT:ILC_PW01(1.0),15/12/23 23:00:00,A,RTG,TOTAL,MEANLIFE,T,Y_GE16,LU,2013,8.1,
ESTAT:ILC_PW01(1.0),15/12/23 23:00:00,A,RTG,TOTAL,MEANLIFE,T,Y_GE16,LV,2013,7.4,
ESTAT:ILC_PW01(1.0),15/12/23 23:00:00,A,RTG,TOTAL,MEANLIFE,T,Y_GE16,MT,2013,8.0,
ESTAT:ILC_PW01(1.0),15/12/23 23:00:00,A,RTG,TOTAL,MEANLIFE,T,Y_GE16,NL,2013,7.7,
ESTAT:ILC_PW01(1.0),15/12/23 23:00:00,A,RTG,TOTAL,MEANLIFE,T,Y_GE16,PL,2013,7.6,
ESTAT:ILC_PW01(1.0),15/12/23 23:00:00,A,RTG,TOTAL,MEANLIFE,T,Y_GE16,PT,2013,7.5,
ESTAT:ILC_PW01(1.0),15/12/23 23:00:00,A,RTG,TOTAL,MEANLIFE,T,Y_GE16,RO,2013,7.3,
ESTAT:ILC_PW01(1.0),15/12/23 23:00:00,A,RTG,TOTAL,MEANLIFE,T,Y_GE16,SE,2013,7.8,
ESTAT:ILC_PW01(1.0),15/12/23 23:00:00,A,RTG,TOTAL,MEANLIFE,T,Y_GE16,SI,2013,7.9,
ESTAT:ILC_PW01(1.0),15/12/23 23:00:00,A,RTG,TOTAL,MEANLIFE,T,Y_GE16,SK,2013,7.5,
