DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,AT,2004,215083,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,AT,2005,220116,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,AT,2006,223931,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,AT,2007,228488,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,AT,2008,236789,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,AT,2009,237658,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,AT,2010,239974,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,AT,2011,241526,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,AT,2012,260518,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,AT,2013,271888,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,AT,2014,270913,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,AT,2015,280060,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,AT,2016,286990,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,AT,2017,288503,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,AT,2018,307647,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,AT,2019,314892,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,AT,2020,191272,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,AT,2021,217501,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,AT,2022,292479,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,BE,2004,184033,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,BE,2005,180431,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,BE,2006,190865,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,BE,2007,201054,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,BE,2008,213934,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,BE,2009,217639,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,BE,2010,223198,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,BE,2011,228753,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,BE,2013,,c
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,BE,2014,,c
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,BE,2015,,c
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,BE,2016,,c
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,BE,2017,,c
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,BE,2018,,c
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,BE,2019,,c
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,BE,2020,,c
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,BE,2021,,c
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,BE,2022,,c
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,BG,2006,34089,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,BG,2007,33242,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,BG,2008,33724,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,BG,2009,31348,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,BG,2010,30079,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,BG,2011,29287,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,BG,2012,26508,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,BG,2013,26059,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,BG,2014,24615,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,BG,2015,22518,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,BG,2016,21425,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,BG,2017,21195,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,BG,2018,21329,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,BG,2019,21329,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,BG,2020,16808,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,BG,2021,17142,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,BG,2022,23065,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,CZ,2004,180282,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,CZ,2005,180266,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,CZ,2006,183027,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,CZ,2007,184184,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,CZ,2008,177257,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,CZ,2009,164813,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,CZ,2010,164642,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,CZ,2011,167789,p
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,CZ,2012,172580,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,CZ,2013,174189,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,CZ,2014,175705,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,CZ,2015,176146,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,CZ,2016,178766,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,CZ,2017,182724,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,CZ,2018,189288,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,CZ,2019,193569,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,CZ,2020,129308,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,CZ,2021,135083,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,CZ,2022,174327,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,DE,2004,2091268,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,DE,2005,2130469,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,DE,2006,2228926,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,DE,2007,2226952,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,DE,2008,2336683,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,DE,2009,2323243,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,DE,2010,2368375,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,DE,2011,2530284,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,DE,2012,2564498,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,DE,2013,2612764,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,DE,2014,2693080,
ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,DE,2015,2684908,
