Title,Title_URL,Image,bigqs_URL,bigqs,bigqs1,iugum,bigqs2,rpecd,jguwg_spancontainsclass_ycete,bigqs3,bigqs4
,,,,,"Moate, Ireland",8 contributions,0,Nov 2023 • Solo,Have to say Ritchie who works for ye on platform before you go through to train in November when I missed my train Ritchie couldn’t be more helpful when I explained I had just been at hospital when he found out the reason and that I was going to be up in few weeks for the operation if anything did go wrong and son couldn’t pick me up and I need to get train home Ritchie said I be working and I will be there to help you in any possible such a gentleman so helpful credit to Irish rail great to see this ,Written 4 January 2024,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,1 contribution,,0,Dec 2023 • Couples,"ABSOLUTEY AWFUL

Took the train a train from portlaoise, got on to be told there's maintenance issues so they made us wait a full hour before getting another train sent down, the original train was meant to be a 45 minute journey straight to Dublin City center, meanwhile the train they sent down stopped at every stop was nearly 2 hours late by the time we got to the city center. Cherry ontop? Not entitled to a refund because I'm on a open return ticket and so according to irish rail my time ain't valuable, awful service avoid if possible.",Written 28 December 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"London, UK",10 contributions,0,Dec 2023 • Solo,"Station locked at 1pm, no toilets available. The app says the train is on time when it's clearly not. No staff to ask when it will actually turn up, stand around guessing for a while. Eventually it shows up dirty and overcrowded, sit on the floor as usual. Mediocre would be a kindness to Irish rail. A joke is more fitting.",Written 20 December 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,3 contributions,,0,Dec 2023 • Solo,Had a nice window seat going down enjoyed my trip to Newry anyway coming back it was dark and I have poor eyesight could not see my reservation number on train so sat beside someone  as could not see the letter before the number and train was packed so overall did not enjoy my trip coming back  nobody told  me at Newry like Dublin the said what carriage to get a great shuttle service from Newry train  station to city centre and brings you back to train station  should be able to sit where you want to  on train hope to go back in January  ascenjoyed my trip,Written 19 December 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Dublin, Ireland",10 contributions,0,Nov 2023 • Business,"The seat reservation system is incredibly frustrating – it consistently fails to function properly, causing frequent inconveniences. In my past five travels, the system has either been inactive or displayed incorrect train IDs, resulting in seat names that didn't match passengers' bookings. In contrast, the seat reservation systems on European trains are far superior based on my experiences across the continent.",Written 30 November 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,1 contribution,,0,Nov 2023 • Solo,"Always delayed even though it’s a train on a fixed track so it should be impossible for it to constantly get delayed, especially for outrageous times like 15 minutes",Written 14 November 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Coolum Beach, Australia",6 contributions,0,Nov 2023 • Friends,"Not escorted - dumped at railway station and given directions to our hotel. Told it was a 5 minute walk. It was raining. Not all guides assisted with luggage (2 x 75 year olds found it hard). On last day told if our taxi didn’t show up get our own and email account to Irish Rail.
Very poor communication regarding movements. One guide in particular was very uninterested in most passengers. Special mention to Julio and Martin (trainees) who were very helpful and personable.",Written 14 November 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Ballaghaderreen, Ireland",117 contributions,0,Oct 2023 • Couples,"Not the perfect railway, but getting better than it once was, modern trains, pretty good punctuality, compared to other railways, such as Deutsche Bahn  it's quite good. ",Written 6 November 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,1 contribution,,0,Oct 2023 • Couples,"Avoid intercity rail. Seats are not guaranteed at all. Train to Dublin was essentially a short string of subway cars. The return trip however; we stood for 90 minutes by the washroom on a ride from Dublin to Rathdrum. I could understand short commute rides but for long distances this is unacceptable and should honestly carry a punishment for overbooking trains like this. Nobody checked our tickets until 2 minutes before our arrival, more people packed into the spaces between cars/sitting in the luggage racks than actual seated passengers. Few if any in designated seats.

Folks talk smack on US rail compared to EU, but Irish Rail is certainly far worse.",Written 28 October 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Milton Keynes, UK",9 contributions,0,Oct 2023 • Couples,"Friendliest rail staff I gave ever met. Jovial, helpful and engaging. The 3 men at An Cobh station on the morning of 25th Oct '23 and the Barrier staff on the journey back were absolute gents. From assisting us getting our elderly wheelchair user on and off the train to just making us feel welcome. A wholesome and positive experience that just reinforced the hospitality and warmth of the Irish. These employees were a credit to Irish Rail. ",Written 26 October 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Castlebar, Ireland",21 contributions,0,Oct 2023 • Solo,"Athlone iarnrod Eireann station....staff member Martin..... There was zero parking this morning at Athlone railway station.  I had turned up half an hour early luckily for trip. I ran into the station in a complete panic as I had just abandoned my car due to no parking. Martin helped me to find parking in a nearby car park, kept me calm and made sure I made my train on time. Nice to have such helpful staff!",Written 25 October 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Melbourne, Australia",28 contributions,0,Oct 2023 • Couples,The trains run well to schedule.  A great way to see Ireland.  Book your tickets on line for best value and pick up at station.,Written 19 October 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,1 contribution,,0,Oct 2023 • Solo,Only bad thing I have to say is that the ised condom in clonmel Station was disgusting it was 5:18pm didn't like having to avoid stepping on it. 🤮  no pic included obviously was just rotten to come across this,Written 14 October 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,2 contributions,,0,Sep 2023 • Solo,"Outdated, expensive. They still have people checking tickets, like some 1990s flashback. Frequently late. Shame shame, charging people such high prices. ",Written 14 October 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
