DATAFLOW,LAST UPDATE,freq,ESTAT:ILC_LI02(1.0)_unit,indic_il,sex,age,geo,TIME_PERIOD,ESTAT:ILC_LI02(1.0)_VALUE,OBS_FLAG,DATAFLOW_1,LAST UPDATE_1,freq_1,ESTAT:ILC_PW01(1.0)_unit,isced11,indic_wb,sex_1,age_1,ESTAT:ILC_PW01(1.0)_VALUE,OBS_FLAG_1,DATAFLOW_2,LAST UPDATE_2,freq_2,ESTAT:ILC_PW01(1.0)_unit_2,isced11_2,indic_wb_2,sex_2,age_2,ESTAT:ILC_PW01(1.0)_VALUE_2,OBS_FLAG_2,DATAFLOW_3,LAST UPDATE_3,freq_3,ESTAT:ILC_PW01(1.0)_unit_3,isced11_3,indic_wb_3,sex_3,age_3,ESTAT:ILC_PW01(1.0)_VALUE_3,OBS_FLAG_3,DATAFLOW_4,LAST UPDATE_4,freq_4,ESTAT:ILC_PW01(1.0)_unit_4,isced11_4,indic_wb_4,sex_4,age_4,ESTAT:ILC_PW01(1.0)_VALUE_4,OBS_FLAG_4,DATAFLOW_5,LAST UPDATE_5,freq_5,ESTAT:ILC_PW01(1.0)_unit_5,isced11_5,indic_wb_5,sex_5,age_5,ESTAT:ILC_PW01(1.0)_VALUE_5,OBS_FLAG_5,DATAFLOW_6,LAST UPDATE_6,freq_6,ESTAT:ILC_PW01(1.0)_unit_6,isced11_6,indic_wb_6,sex_6,age_6,ESTAT:ILC_PW01(1.0)_VALUE_6,OBS_FLAG_6,DATAFLOW_7,LAST UPDATE_7,freq_7,ESTAT:ILC_PW01(1.0)_unit_7,isced11_7,indic_wb_7,sex_7,age_7,ESTAT:ILC_PW01(1.0)_VALUE_7,OBS_FLAG_7,DATAFLOW_8,LAST UPDATE_8,freq_8,ESTAT:ILC_PW01(1.0)_unit_8,isced11_8,indic_wb_8,sex_8,age_8,ESTAT:ILC_PW01(1.0)_VALUE_8,OBS_FLAG_8,DATAFLOW_9,LAST UPDATE_9,freq_9,ESTAT:ILC_PW01(1.0)_unit_9,isced11_9,indic_wb_9,sex_9,age_9,ESTAT:ILC_PW01(1.0)_VALUE_9,OBS_FLAG_9,DATAFLOW_10,LAST UPDATE_10,freq_10,ESTAT:ILC_PW01(1.0)_unit_10,isced11_10,indic_wb_10,sex_10,age_10,ESTAT:ILC_PW01(1.0)_VALUE_10,OBS_FLAG_10,DATAFLOW_11,LAST UPDATE_11,freq_11,c_resid,ESTAT:TOUR_OCC_NINATS(1.0)_unit,hotelsize,ESTAT:TOUR_OCC_NINATS(1.0)_VALUE,OBS_FLAG_11,DATAFLOW_12,LAST UPDATE_12,freq_12,ESTAT:RAIL_TF_PASSMOV(1.0)_unit,vehicle,ESTAT:RAIL_TF_PASSMOV(1.0)_VALUE,OBS_FLAG_12,DATAFLOW_13,LAST UPDATE_13,freq_13,ESTAT:RAIL_PA_TOTAL(1.0)_unit,ESTAT:RAIL_PA_TOTAL(1.0)_VALUE,OBS_FLAG_13,DATAFLOW_14,LAST UPDATE_14,freq_14,ESTAT:RAIL_PA_TOTAL(1.0)_unit_14,ESTAT:RAIL_PA_TOTAL(1.0)_VALUE_14,OBS_FLAG_14,DATAFLOW_15,LAST UPDATE_15,freq_15,ESTAT:RAIL_AC_CATNMBR(1.0)_unit,accident,ESTAT:RAIL_AC_CATNMBR(1.0)_VALUE,OBS_FLAG_15,DATAFLOW_16,LAST UPDATE_16,freq_16,tra_infr,n_tracks,ESTAT:TTR00003(1.0)_unit,ESTAT:TTR00003(1.0)_VALUE,OBS_FLAG_16
ESTAT:ILC_LI02(1.0),15/12/23 23:00:00,A,PC,LI_R_MD60,T,TOTAL,AT,1995,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESTAT:RAIL_TF_PASSMOV(1.0),19/12/23 23:00:00,A,THS_TRKM,TOTAL,88693.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTAT:ILC_LI02(1.0),15/12/23 23:00:00,A,PC,LI_R_MD60,T,TOTAL,AT,1996,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESTAT:RAIL_TF_PASSMOV(1.0),19/12/23 23:00:00,A,THS_TRKM,TOTAL,82912.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTAT:ILC_LI02(1.0),15/12/23 23:00:00,A,PC,LI_R_MD60,T,TOTAL,AT,1997,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESTAT:RAIL_TF_PASSMOV(1.0),19/12/23 23:00:00,A,THS_TRKM,TOTAL,86922.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTAT:ILC_LI02(1.0),15/12/23 23:00:00,A,PC,LI_R_MD60,T,TOTAL,AT,1998,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESTAT:RAIL_TF_PASSMOV(1.0),19/12/23 23:00:00,A,THS_TRKM,TOTAL,90228.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTAT:ILC_LI02(1.0),15/12/23 23:00:00,A,PC,LI_R_MD60,T,TOTAL,AT,1999,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTAT:ILC_LI02(1.0),15/12/23 23:00:00,A,PC,LI_R_MD60,T,TOTAL,AT,2000,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTAT:ILC_LI02(1.0),15/12/23 23:00:00,A,PC,LI_R_MD60,T,TOTAL,AT,2001,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTAT:ILC_LI02(1.0),15/12/23 23:00:00,A,PC,LI_R_MD60,T,TOTAL,AT,2003,13.2,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTAT:ILC_LI02(1.0),15/12/23 23:00:00,A,PC,LI_R_MD60,T,TOTAL,AT,2004,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESTAT:RAIL_TF_PASSMOV(1.0),19/12/23 23:00:00,A,THS_TRKM,TOTAL,93903.0,,ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,MIO_PKM,8274.0,,ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,215083.0,,ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,TOTAL,119.0,,,,,,,,,
ESTAT:ILC_LI02(1.0),15/12/23 23:00:00,A,PC,LI_R_MD60,T,TOTAL,AT,2005,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESTAT:RAIL_TF_PASSMOV(1.0),19/12/23 23:00:00,A,THS_TRKM,TOTAL,94757.0,,ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,MIO_PKM,8685.0,,ESTAT:RAIL_PA_TOTAL(1.0),29/11/23 23:00:00,A,THS_PAS,220116.0,,ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,TOTAL,98.0,,,,,,,,,
