"STATISTIC","Statistic Label","TLIST(A1)","Year","C02196V02652","State","UNIT","VALUE"
"TOA21C01","Length of lines, total","2016","2016","-","State","line km","1894"
"TOA21C01","Length of lines, total","2017","2017","-","State","line km","1894"
"TOA21C01","Length of lines, total","2018","2018","-","State","line km","2045"
"TOA21C01","Length of lines, total","2019","2019","-","State","line km","2045"
"TOA21C01","Length of lines, total","2020","2020","-","State","line km","2045"
"TOA21C01","Length of lines, total","2021","2021","-","State","line km","2045"
"TOA21C01","Length of lines, total","2022","2022","-","State","line km","2045"
"TOA21C02","Length of lines, passenger","2016","2016","-","State","line km","1679"
"TOA21C02","Length of lines, passenger","2017","2017","-","State","line km","1679"
"TOA21C02","Length of lines, passenger","2018","2018","-","State","line km","1679"
"TOA21C02","Length of lines, passenger","2019","2019","-","State","line km","1679"
"TOA21C02","Length of lines, passenger","2020","2020","-","State","line km","1679"
"TOA21C02","Length of lines, passenger","2021","2021","-","State","line km","1679"
"TOA21C02","Length of lines, passenger","2022","2022","-","State","line km","1679"
"TOA21C03","Length of lines in single track","2016","2016","-","State","line km","1208"
"TOA21C03","Length of lines in single track","2017","2017","-","State","line km","1208"
"TOA21C03","Length of lines in single track","2018","2018","-","State","line km","1579"
"TOA21C03","Length of lines in single track","2019","2019","-","State","line km","1579"
"TOA21C03","Length of lines in single track","2020","2020","-","State","line km","1579"
"TOA21C03","Length of lines in single track","2021","2021","-","State","line km","1579"
"TOA21C03","Length of lines in single track","2022","2022","-","State","line km","1579"
"TOA21C04","Length of main track","2016","2016","-","State","main track km","2384"
"TOA21C04","Length of main track","2017","2017","-","State","main track km","2384"
"TOA21C04","Length of main track","2018","2018","-","State","main track km","2384"
"TOA21C04","Length of main track","2019","2019","-","State","main track km","2384"
"TOA21C04","Length of main track","2020","2020","-","State","main track km","2384"
"TOA21C04","Length of main track","2021","2021","-","State","main track km","2384"
"TOA21C04","Length of main track","2022","2022","-","State","main track km","2384"
"TOA21C05","Length of electrified main track","2016","2016","-","State","main track km","107.5"
"TOA21C05","Length of electrified main track","2017","2017","-","State","main track km","107.5"
"TOA21C05","Length of electrified main track","2018","2018","-","State","main track km","107.5"
"TOA21C05","Length of electrified main track","2019","2019","-","State","main track km","107.5"
"TOA21C05","Length of electrified main track","2020","2020","-","State","main track km","107.5"
"TOA21C05","Length of electrified main track","2021","2021","-","State","main track km","107.5"
"TOA21C05","Length of electrified main track","2022","2022","-","State","main track km","107.5"
"TOA21C06","Passenger stations","2016","2016","-","State","Number","144"
"TOA21C06","Passenger stations","2017","2017","-","State","Number","144"
"TOA21C06","Passenger stations","2018","2018","-","State","Number","144"
"TOA21C06","Passenger stations","2019","2019","-","State","Number","144"
"TOA21C06","Passenger stations","2020","2020","-","State","Number","144"
"TOA21C06","Passenger stations","2021","2021","-","State","Number","145"
"TOA21C06","Passenger stations","2022","2022","-","State","Number","145"
