"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","1970",6281,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","1971",6506,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","1972",6569,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","1973",6513,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","1974",6575,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","1975",6470,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","1976",6500,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","1977",6773,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","1978",7109,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","1979",7241,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","1980",7380,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","1981",7043,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","1982",7217,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","1983",7150,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","1984",7004,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","1985",7290,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","1986",7332,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","1987",7363,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","1988",7783,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","1989",8444,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","1990",8463,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","1991",8990,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","1992",9501,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","1993",9342,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","1994",9629,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","1995",9625,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","1996",9689,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","1997",8140,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","1998",7971,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","1999",7995,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","2000",8206,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","2001",8240,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","2002",8300,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","2003",8249,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","2004",8295,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","2005",8470,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","2006",9296,"B"
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","2007",9580,
